module,entity,comparison_dimension,new_design,teammate_design,old_design,difference,reason,tradeoff,migration_action,decision_status,evidence_source
global,raw_submission,idempotency,"UNIQUE submission_uuid and UNIQUE source_event_key; payload HMAC auxiliary","wasAlreadySynced by application_submissions.airtable_record_id; Google reuses synthetic value","ingestion_batch_id plus source_record_number and file hash","New design separates global business identity from source-system identity","Prevent duplicate writes even if adapter generates a new UUID on retry","Two identifiers must be managed consistently","Map Airtable record ID and Google sheet-row key to source_event_key",decided,"worker.js lines around wasAlreadySynced and googleRowToRecord"
global,application,resubmission,"New Application/Candidate/ML/stage records; old Application superseded; fence old Workflow","New Application created for each source row without formal supersede or lineage","Original unique application cluster/person model and later stage tables","New design preserves history while preventing old Workflow from creating Offer","Concurrency safety and decision reproducibility","More historical rows","Build attempt and lineage migration",decided,"worker.js createApplication; original Application indexes"
catalog,company,authority,"D1 company is recruiter-managed authoritative catalog; intake validates selected company_id","findOrCreateCompany by case-insensitive submitted company name","Company catalog populated and Application used ML-mapped company_id plus applied name","New design forbids intake from automatically creating Company","Prevent spelling errors or unauthorized companies entering catalog","Requires catalog administration/sync workflow","Migrate approved Company rows; reject or review unknown raw selections",decided,"worker.js findOrCreateCompany; original application importer"
catalog,company,table_name,"company","companies","Company","Both prior implementations require explicit mapping","Apply one naming standard","Integration SQL mismatch","Create new table and migrate",decided,"worker.js; Create_schema_2026-08-04.sql"
catalog,company,active_status,"is_active boolean used by form catalog","No company active-state handling found","No is_active on Company","New design makes eligibility explicit","Prevent inactive companies appearing on Airtable/Google Form","Boolean does not retain a full status history","Audit changes separately; add policy later if needed",decided,"worker.js; Create_schema_2026-08-04.sql"
catalog,company,field_scope,"Focused canonical catalog fields and default attempt policy; excludes domain, logo URL, and legal name","company_name only in current Worker writes","Wide company profile including domain, logo, funding/revenue/social/industry fields","New design retains only fields needed by current application, ML, and Offer prototype; postpones unpopulated enrichment","Avoid large unused schema and fields without authoritative sources","Formal legal Offer generation may later require an authoritative legal-entity name","Migrate only populated/required fields; add legal entity data later if a verified source exists",modified,"worker.js findOrCreateCompany; old Company schema; decision 2026-08-13"
catalog,company,normalized_name,"Stored normalized_company_name; indexed but not unique","LOWER(company_name) comparison at query time","company_name only; no unique normalized-name constraint","New design makes normalized lookup reproducible but avoids false global uniqueness","Faster lookup and explicit normalization version logic","Possible duplicate canonical companies still require admin review","Backfill using documented normalization function",draft,"worker.js findOrCreateCompany; old Company schema"
catalog,company,submission_limit,"default_max_submission_attempts default 5; Application freezes snapshot","No resubmission limit","No company default resubmission limit","New design supports agreed five total attempts","Enforce consistent resubmission admission","Future policy versioning may move this field","Start simple; register future policy-table optimization",draft,"architecture decision 2026-08-13"
catalog,company,indexes,"UUID unique; normalized-name lookup; active-name list","Runtime LOWER lookup; database unique/index evidence not supplied","No explicit Company name/active indexes in exported schema","New design indexes actual catalog read paths","Efficient active option lists and admin lookup","Indexes add small write/storage cost","Validate with EXPLAIN QUERY PLAN after catalog API exists",draft,"worker.js; old exported indexes"
shared_reference,skill,type_relationship,"One canonical skill plus skill_type_assignment many-to-many bridge","No structured Skill or Skill type catalog","Skill contains one mandatory skill_type_id; same normalized name can be duplicated across types","New design separates Skill identity from classification","Existing source data contains about 4091 cross-type same-name values and the user requires multi-type membership","Importer and old Candidate Skill migration must map old Skill IDs to canonical new Skill IDs","Normalize names; create one Skill; insert all distinct type assignments; remap downstream references",decided,"Function_Skills.csv; Technical_Skills.csv; Language_Skills.csv; original skill loader; 20_candidate_skill_import.py"
shared_reference,location,hierarchy,"country to state; city directly belongs to country and optionally state; reusable location omits region and timezone","No shared normalized location hierarchy","Country to Region to State to City plus Timezone and Location","New design removes unused Region and Timezone layers","Support countries without a state layer while reducing unused joins","Timezone must be added later if interview scheduling creates a real requirement","Migrate country/state/city where present; drop empty unused region/timezone links",decided,"Create_schema_2026-08-04.sql; architecture decision 2026-08-13"
shared_reference,degree,canonical_categories,"Five canonical categories: Doctorate Master Bachelor Associate High School; Other remains extraction rejection/audit data","No normalized education taxonomy","Degree table existed and rule-based extraction mapped five categories plus Other handling in CSV","New design freezes only reliable normalized degree categories in published reference data","Keep highest-degree meaning stable and avoid promoting uncertain extraction","Non-degree education text remains queryable only in submission extraction/audit","Seed five rows; remap accepted Education records; keep rejected Other upstream",decided,"candidate education v4 rules and import decisions; old Degree schema"
shared_reference,all,soft_deprecation,"Shared reference rows use is_active and are not physically deleted once referenced","No shared-reference lifecycle design","Most original reference tables had no active flag and foreign keys defaulted to NO ACTION","New design makes catalog retirement explicit","Preserve historical foreign-key meaning while preventing new selection","Requires every writer to filter active rows for new assignments","Backfill existing approved rows as active; use audit events for later changes",decided,"Create_schema_2026-08-04.sql; architecture decision 2026-08-13"
catalog,position_work_mode,deferred_scope,"Deferred from the initial schema; company work modes temporarily apply to all positions of that company","Application stores free-text work_mode and Role has no normalized work-mode child","Company_work_mode stores free text and no Position_work_mode table exists","New design normalizes Company Work Mode now but does not claim unavailable position-level compatibility","Avoid a permanently empty table and uninformative copied relationships until real position-level data or filtering exists","Cannot express position-specific exceptions until the deferred migration is activated","Add through migration only when reliable position-level work-mode data or a real filtering requirement appears",decided,"worker.js createApplication; old Company_work_mode and Position schema; explicit architecture decision"
catalog,position,status_model,"One position_status with draft active paused closed archived","No authoritative Role lifecycle status found","position_status is unconstrained TEXT","New design prevents contradictory is_active/is_closed boolean combinations","Support editing temporary pause closure archival and form filtering","State transitions require a catalog service and audit","Map currently selectable positions to active and review the remainder",draft,"worker.js roles; old Position schema"
catalog,catalog_revision,form_sync,"Immutable active option-tree JSON revision plus aggregate and per-target sync runs","Reads Airtable and Google data but no D1-to-form catalog revision or target-run persistence","No reverse form catalog synchronization control plane","New design separates authoritative D1 publish from eventually consistent external-channel synchronization","Explain what options were published and represent partial Airtable/Google success honestly","Native form capabilities may not support true per-window cascading freeze","Build adapters after schema confirmation; validate selections again at intake",draft,"worker.js; teammate documentation; architecture decision"
catalog,company_contact_info,contact_model,"Generic contact_value with nullable contact_type_id; no contact_label or fallback-type requirement in the initial schema; multiple primary contacts are allowed","No equivalent normalized company-contact child table found","Company_contact_info existed with narrower fixed contact fields","New design accepts currently unclassified contact channels without inventing an unknown reference row","Preserves available contact data and allows several primary contacts across channels regions or functions","Consumers cannot assume every contact value has a machine-readable type until a future migration or backfill","Migrate each meaningful contact value to one row; defer contact_label and NULL-type backfill until routing or classification is required",decided,"Create_schema_2026-08-04.sql; explicit architecture decision 2026-08-17"
submission_processing,initial_cleaning,catalog_validation,"Retain useful field cleaning but add authoritative company position and optional company-work-mode ID existence active and ownership checks","Worker find-or-creates Company and Role from submitted names","Old InitialSubmissionCleaner mainly checked missing name/email; later normalization used exact/fuzzy Company and Position matching","New design separates faithful raw intake from strict catalog admission","Prevent stale cross-company or inactive options from entering normalized and application layers","Requires rewriting the old CSV/batch-dependent cell as a D1-only idempotent Workflow step","Port field normalization rules; remove fuzzy catalog creation; reject stale catalog selections after raw persistence",decided,"chaojiwudiniubidaima (11).ipynb InitialSubmissionCleaner and normalization cells; explicit architecture decision"
catalog,catalog_sync_run,target_scope,"Each sync run includes only the currently selected enabled target subset; one or two target rows are both valid","No D1-to-form sync run model","No reverse catalog synchronization","New design does not require Airtable and Google Form to be open or synchronized together","Avoid false failures and unnecessary writes to closed channels while retaining per-target retry history","A later-opened channel needs a separate run against the latest revision","Create target rows only for channels selected by the caller or Outbox payload",decided,"teammate worker documentation; explicit architecture decision 2026-08-17"
catalog,catalog_revision,creation_timing,"Create a revision only when the effective selectable option-tree hash changes and is published; opening an applicant window reads or syncs the latest published revision","No authoritative D1 catalog revision lifecycle","No immutable selectable-catalog revision","New design separates catalog publication from channel or applicant-window opening","Prevents one revision per window and gives every form a consistent immutable option snapshot","A native form may temporarily serve its last successfully synced revision until its adapter updates it","Publish on effective option changes; reuse the latest revision when a channel or applicant window opens",decided,"explicit architecture decision 2026-08-17"
submission_ingress,raw_submission_intake_run,operational_receipt,"One mutable logical run per source event with persistence-attempt technical-redelivery payload-conflict counts and last non-sensitive error","Worker checks a source record then relies on console summary and submission parse status","Ingestion_batch records file-level counts and raw_submission stores coarse processing status","New design records real-time per-event Raw ingress independently from Workflow A and business deduplication","Preserve failed receipt diagnostics and safely reuse one source event across network webhook queue or poller redelivery","Only the latest technical error is retained unless a future intake-attempt table is added","Map every Airtable or Google source event to one idempotent raw intake run; never treat applicant resubmission as technical redelivery",draft,"worker.js runSync/processRecord; old Ingestion_batch/raw_submission; architecture decisions"
submission_ingress,raw_submission,faithful_raw_boundary,"Structured submitted fields plus optional source payload JSON resume text or file references and non-FK submitted catalog snapshots","application_submissions mixes raw values duplicate outcome application FK and mutable parser status","raw_submission stores one packed UTF-8 record tied to ingestion_batch and source row number","New design lands Raw before business cleaning and separates parser output and workflow state","Invalid stale or incomplete business input remains auditable without contaminating Application","More explicit nullable raw columns and intentional source metadata duplication","Map old packed records and teammate raw fields; move parser output to G05 resume_extraction",draft,"worker.js createSubmission/parseAndSaveResume; old raw_submission schema; architecture decisions"
submission_ingress,raw_submission,catalog_boundary,"Submitted catalog IDs and names are stored without foreign keys and validated later in Workflow A","Company and Role are find-or-created before submission insertion","Company and Position are matched during normalization and then stored as foreign keys","New design guarantees raw persistence even for stale inactive nonexistent or cross-company selections","Faithful intake and explainable catalog rejection","Invalid IDs cannot be protected by schema and require a strict Initial Cleaning step","Store submitted values as ordinary fields; publish normalized rows only after catalog validation",draft,"worker.js findOrCreateCompany/findOrCreateRole; old normalization cell; G02/G03 decisions"
