group_code,group_name,table_name,column_name,declared_type,primary_key,not_null,required_without_default,nullable,schema_default,foreign_key,unique_participant,check_or_cross_column_rule,status_policy,derivation_or_authoring_rule,common_failure
G01,shared_reference,field_study,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,field_study,field_study_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: field_study.field_study_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,field_study,field_study_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: field_study.field_study_name
G01,shared_reference,field_study,normalized_field_study_name,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: field_study.normalized_field_study_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,field_study,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,field_study,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: field_study.created_at
G01,shared_reference,field_study,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: field_study.updated_at
G01,shared_reference,function,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,function,function_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: function.function_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,function,function_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: function.function_name
G01,shared_reference,function,normalized_function_name,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: function.normalized_function_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,function,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,function,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: function.created_at
G01,shared_reference,function,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: function.updated_at
G01,shared_reference,issuing_organization,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,issuing_organization,issuing_organization_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: issuing_organization.issuing_organization_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,issuing_organization,organization_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: issuing_organization.organization_name
G01,shared_reference,issuing_organization,normalized_organization_name,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: issuing_organization.normalized_organization_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,issuing_organization,organization_url,TEXT,no,no,no,yes,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid values may still be rejected by the canonical importer
G01,shared_reference,issuing_organization,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,issuing_organization,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: issuing_organization.created_at
G01,shared_reference,issuing_organization,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: issuing_organization.updated_at
G01,shared_reference,location,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,location,location_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: location.location_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,location,country_id,INTEGER,no,no,no,yes,,country.id ON DELETE RESTRICT,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,unknown parent ID → FOREIGN KEY constraint failed; invalid value/combination → CHECK or trigger rejection
G01,shared_reference,location,state_id,INTEGER,no,no,no,yes,,state.id ON DELETE RESTRICT,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,unknown parent ID → FOREIGN KEY constraint failed; invalid value/combination → CHECK or trigger rejection
G01,shared_reference,location,city_id,INTEGER,no,no,no,yes,,city.id ON DELETE RESTRICT,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,unknown parent ID → FOREIGN KEY constraint failed; invalid value/combination → CHECK or trigger rejection
G01,shared_reference,location,postal_code,TEXT,no,no,no,yes,,,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,location,location_name,TEXT,no,no,no,yes,,,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,location,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: location.created_at
G01,shared_reference,location,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: location.updated_at
G01,shared_reference,major,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,major,major_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: major.major_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,major,field_study_id,INTEGER,no,no,no,yes,,field_study.id ON DELETE RESTRICT,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,unknown parent ID → FOREIGN KEY constraint failed
G01,shared_reference,major,major_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: major.major_name
G01,shared_reference,major,normalized_major_name,TEXT,no,yes,yes,no,,,no,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: major.normalized_major_name
G01,shared_reference,major,is_stem,INTEGER,no,no,no,yes,,,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,major,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,major,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: major.created_at
G01,shared_reference,major,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: major.updated_at
G01,shared_reference,position_employment_type,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,position_employment_type,employment_type_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: position_employment_type.employment_type_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,position_employment_type,employment_type_name,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: position_employment_type.employment_type_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,position_employment_type,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,position_employment_type,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: position_employment_type.created_at
G01,shared_reference,position_employment_type,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: position_employment_type.updated_at
G01,shared_reference,position_occupational_type,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,position_occupational_type,occupational_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: position_occupational_type.occupational_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,position_occupational_type,occupational_type_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: position_occupational_type.occupational_type_name
G01,shared_reference,position_occupational_type,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,position_occupational_type,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: position_occupational_type.created_at
G01,shared_reference,position_occupational_type,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: position_occupational_type.updated_at
G01,shared_reference,school,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,school,school_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: school.school_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,school,school_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: school.school_name
G01,shared_reference,school,normalized_school_name,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: school.normalized_school_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,school,school_url,TEXT,no,no,no,yes,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid values may still be rejected by the canonical importer
G01,shared_reference,school,school_type,TEXT,no,no,no,yes,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid values may still be rejected by the canonical importer
G01,shared_reference,school,school_category,TEXT,no,no,no,yes,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid values may still be rejected by the canonical importer
G01,shared_reference,school,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,school,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: school.created_at
G01,shared_reference,school,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: school.updated_at
G01,shared_reference,seniority,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,seniority,seniority_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: seniority.seniority_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,seniority,seniority_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: seniority.seniority_name
G01,shared_reference,seniority,seniority_rank,INTEGER,no,no,no,yes,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid values may still be rejected by the canonical importer
G01,shared_reference,seniority,typical_experience_months_min,INTEGER,no,no,no,yes,,,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,seniority,typical_experience_months_max,INTEGER,no,no,no,yes,,,no,yes,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,seniority,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,seniority,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: seniority.created_at
G01,shared_reference,seniority,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: seniority.updated_at
G01,shared_reference,skill,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,skill,skill_uuid,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer generates or validates the stable identifier; manual SQL must provide it unless a table-specific template says otherwise.,omit → NOT NULL constraint failed: skill.skill_uuid; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,skill,skill_name,TEXT,no,yes,yes,no,,,no,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: skill.skill_name
G01,shared_reference,skill,normalized_skill_name,TEXT,no,yes,yes,no,,,yes,no,,Canonical importer must normalize the source value before INSERT; manual SQL must provide the reviewed normalized value.,omit → NOT NULL constraint failed: skill.normalized_skill_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,skill,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,skill,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: skill.created_at
G01,shared_reference,skill,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: skill.updated_at
G01,shared_reference,skill_proficiency_level,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
G01,shared_reference,skill_proficiency_level,proficiency_level_code,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: skill_proficiency_level.proficiency_level_code; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,skill_proficiency_level,proficiency_level_name,TEXT,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: skill_proficiency_level.proficiency_level_name; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,skill_proficiency_level,proficiency_level_rank,INTEGER,no,yes,yes,no,,,yes,no,,No implicit business derivation. Follow the canonical importer or table-specific manual SQL template.,omit → NOT NULL constraint failed: skill_proficiency_level.proficiency_level_rank; duplicate protected value → UNIQUE constraint failed
G01,shared_reference,skill_proficiency_level,is_active,INTEGER,no,yes,no,no,1,,no,yes,default_active,New reviewed reference records are active unless the writer explicitly supplies 0.,invalid value/combination → CHECK or trigger rejection
G01,shared_reference,skill_proficiency_level,created_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: skill_proficiency_level.created_at
G01,shared_reference,skill_proficiency_level,updated_at,TEXT,no,yes,yes,no,,,no,no,,Canonical importer writes an RFC 3339 UTC timestamp when the business event occurs; do not invent a placeholder time.,omit → NOT NULL constraint failed: skill_proficiency_level.updated_at
G01,shared_reference,skill_type,id,INTEGER,yes,no,no,no,,,no,no,,Omit on INSERT to let SQLite/D1 allocate the row ID; never guess or reuse an ID.,invalid values may still be rejected by the canonical importer
